state,total_outage_days,total_days,max_customers_out,avg_customers_out,total_customer_hours,outage_rate,state_risk,risk_score,lat,lon,risk_level
Maine,113,1878,12149.0,205.89776357827475,993416.25,0.06017039403620873,0.87,0.3841,44.69,-69.38,HIGH
Vermont,23,1214,11839.0,83.21499176276771,342839.75,0.018945634266886325,0.78,0.3234,44.56,-72.58,HIGH
New York,298,6817,52605.0,171.99339885580167,3207215.0,0.04371424380225906,0.72,0.3142,42.97,-75.15,HIGH
New Hampshire,29,1253,10287.0,106.57142857142857,257133.0,0.02314445331205108,0.75,0.3139,43.97,-71.57,HIGH
Massachusetts,140,1734,85305.0,470.44809688581313,3693678.25,0.08073817762399077,0.65,0.3084,42.23,-71.53,HIGH
New Jersey,281,2871,16632.0,330.2668059909439,1402186.0,0.09787530477185649,0.6,0.2987,40.06,-74.41,HIGH
Pennsylvania,277,7911,27662.0,147.0956895462015,2700283.5,0.03501453672102136,0.68,0.293,40.99,-77.6,HIGH
Connecticut,52,1080,18663.0,196.40555555555557,402376.0,0.04814814814814815,0.61,0.2729,41.6,-72.69,HIGH
Rhode Island,26,538,6931.0,160.71189591078067,152494.25,0.048327137546468404,0.58,0.261,41.68,-71.51,HIGH
