state,year,linear_proj,rolling_proj,climate_proj,lower_bound,upper_bound,slope,trend_dir
Connecticut,2026,0.0448,0.0561,0.0572,0.0361,0.0761,-0.005407,Improving
Connecticut,2027,0.0394,0.0507,0.0527,0.0107,0.0907,-0.005407,Improving
Connecticut,2028,0.034,0.0453,0.048,0.0,0.1053,-0.005407,Improving
Connecticut,2029,0.0286,0.0399,0.0431,0.0,0.1199,-0.005407,Improving
Connecticut,2030,0.0232,0.0345,0.0379,0.0,0.1345,-0.005407,Improving
Maine,2026,0.0713,0.0858,0.0889,0.0658,0.1058,-0.003395,Improving
Maine,2027,0.0679,0.0824,0.0883,0.0424,0.1224,-0.003395,Improving
Maine,2028,0.0645,0.079,0.0876,0.019,0.139,-0.003395,Improving
Maine,2029,0.0611,0.0756,0.0865,0.0,0.1556,-0.003395,Improving
Maine,2030,0.0577,0.0722,0.0852,0.0,0.1722,-0.003395,Improving
Massachusetts,2026,0.098,0.1136,0.1166,0.0936,0.1336,-0.003046,Improving
Massachusetts,2027,0.0949,0.1106,0.1163,0.0706,0.1506,-0.003046,Improving
Massachusetts,2028,0.0919,0.1075,0.1159,0.0475,0.1675,-0.003046,Improving
Massachusetts,2029,0.0888,0.1045,0.1154,0.0245,0.1845,-0.003046,Improving
Massachusetts,2030,0.0858,0.1014,0.1146,0.0014,0.2014,-0.003046,Improving
New Hampshire,2026,0.0,0.0304,0.0313,0.0104,0.0504,-0.008499,Improving
New Hampshire,2027,0.0,0.0219,0.0233,0.0,0.0619,-0.008499,Improving
New Hampshire,2028,0.0,0.0134,0.0146,0.0,0.0734,-0.008499,Improving
New Hampshire,2029,0.0,0.0049,0.0055,0.0,0.0849,-0.008499,Improving
New Hampshire,2030,0.0,0.0,0.0,0.0,0.1,-0.008499,Improving
New Jersey,2026,0.1303,0.1374,0.1413,0.1174,0.1574,-0.003462,Improving
New Jersey,2027,0.1268,0.134,0.1415,0.094,0.174,-0.003462,Improving
New Jersey,2028,0.1233,0.1305,0.1415,0.0705,0.1905,-0.003462,Improving
New Jersey,2029,0.1199,0.127,0.1413,0.047,0.207,-0.003462,Improving
New Jersey,2030,0.1164,0.1236,0.1409,0.0236,0.2236,-0.003462,Improving
New York,2026,0.0617,0.0593,0.0608,0.0393,0.0793,-0.001637,Improving
New York,2027,0.06,0.0577,0.0605,0.0177,0.0977,-0.001637,Improving
New York,2028,0.0584,0.0561,0.0601,0.0,0.1161,-0.001637,Improving
New York,2029,0.0568,0.0544,0.0597,0.0,0.1344,-0.001637,Improving
New York,2030,0.0551,0.0528,0.0591,0.0,0.1528,-0.001637,Improving
Pennsylvania,2026,0.0455,0.0476,0.0486,0.0276,0.0676,-0.002539,Improving
Pennsylvania,2027,0.0429,0.045,0.047,0.005,0.085,-0.002539,Improving
Pennsylvania,2028,0.0404,0.0425,0.0453,0.0,0.1025,-0.002539,Improving
Pennsylvania,2029,0.0379,0.04,0.0435,0.0,0.12,-0.002539,Improving
Pennsylvania,2030,0.0353,0.0374,0.0415,0.0,0.1374,-0.002539,Improving
Rhode Island,2026,0.069,0.0663,0.0675,0.0463,0.0863,-0.000759,Improving
Rhode Island,2027,0.0683,0.0655,0.0679,0.0255,0.1055,-0.000759,Improving
Rhode Island,2028,0.0675,0.0648,0.0683,0.0048,0.1248,-0.000759,Improving
Rhode Island,2029,0.0668,0.064,0.0686,0.0,0.144,-0.000759,Improving
Rhode Island,2030,0.066,0.0632,0.0689,0.0,0.1632,-0.000759,Improving
Vermont,2026,0.0027,0.019,0.0196,0.0,0.039,-0.0038,Improving
Vermont,2027,0.0,0.0152,0.0161,0.0,0.0552,-0.0038,Improving
Vermont,2028,0.0,0.0114,0.0125,0.0,0.0714,-0.0038,Improving
Vermont,2029,0.0,0.0076,0.0085,0.0,0.0876,-0.0038,Improving
Vermont,2030,0.0,0.0038,0.0044,0.0,0.1038,-0.0038,Improving
