year,state,outage_days,total_days,max_customers,avg_customers,total_cust_hours,outage_rate,log_avg
2014,Connecticut,39,457,4100.0,300.7680525164114,373952.75,0.08533916849015317,5.709658684257433
2014,Maine,121,826,42304.0,1014.8886198547216,9516976.75,0.14648910411622276,6.9235189960018015
2014,Massachusetts,102,729,15335.0,508.7599451303155,1553422.75,0.13991769547325103,6.233939919083408
2014,New Hampshire,66,393,78205.0,1775.0203562340967,8932145.0,0.16793893129770993,7.482130385329952
2014,New Jersey,137,944,16943.0,465.41525423728814,600657.5,0.1451271186440678,6.145076340842111
2014,New York,210,2763,18423.0,289.7032211364459,3729948.5,0.07600434310532031,5.67230288812417
2014,Pennsylvania,247,3195,46555.0,310.9834115805947,2453988.5,0.07730829420970266,5.742950018385099
2014,Rhode Island,13,232,7651.0,201.05172413793105,63242.0,0.05603448275862069,5.308523724712183
2014,Vermont,58,665,10760.0,391.45112781954884,2560803.75,0.08721804511278196,5.972412014360383
2015,Connecticut,45,579,9431.0,282.46459412780655,341915.0,0.07772020725388601,5.647087226930524
2015,Maine,53,954,7466.0,187.21383647798743,406402.5,0.05555555555555555,5.237578744523133
2015,Massachusetts,81,810,12800.0,336.4074074074074,804539.5,0.1,5.821291124249675
2015,New Hampshire,30,437,10751.0,287.9016018306636,250273.5,0.06864988558352403,5.666086152042016
2015,New Jersey,160,1235,27600.0,389.5157894736842,667076.5,0.12955465587044535,5.967468402453818
2015,New York,177,3387,11218.0,201.69707705934456,2292806.75,0.05225863596102746,5.311712633321151
2015,Pennsylvania,290,4019,12811.0,253.54043294351828,2090242.0,0.0721572530480219,5.539459695448438
2015,Rhode Island,13,284,5381.0,172.79929577464787,67174.0,0.045774647887323945,5.157901160893553
2015,Vermont,13,664,5066.0,113.37048192771084,170805.5,0.01957831325301205,4.739443020544069
2016,Connecticut,80,491,30026.0,944.8818737270876,2459354.0,0.1629327902240326,6.852117692044803
2016,Maine,81,610,22804.0,519.3409836065574,1641921.0,0.13278688524590163,6.254484334378364
2016,Massachusetts,136,797,32359.0,916.7189460476787,3251189.25,0.17063989962358847,6.8218911847548025
2016,New Hampshire,43,481,12535.0,327.0935550935551,311495.5,0.0893970893970894,5.793298796657868
2016,New Jersey,302,1314,106447.0,966.4627092846271,4097718.5,0.2298325722983257,6.874676880786059
2016,New York,282,2920,32589.0,366.23390410958905,4209626.75,0.09657534246575343,5.905998985937178
2016,Pennsylvania,246,3361,13080.0,260.98333829217495,2191309.75,0.07319250223147873,5.568280907434217
2016,Rhode Island,35,257,16406.0,629.7665369649806,843084.75,0.13618677042801555,6.446935805116413
2016,Vermont,24,586,4780.0,134.1331058020478,239672.25,0.040955631399317405,4.90626026159441
2017,Connecticut,47,498,13350.0,381.62449799196787,472751.5,0.09437751004016064,5.947054085254178
2017,Maine,71,718,10836.0,328.6434540389972,892231.5,0.0988857938718663,5.7980116280559075
2017,Massachusetts,99,788,50097.0,618.9543147208121,1512928.75,0.12563451776649745,6.429645789390022
2017,New Hampshire,35,510,15026.0,314.8607843137255,403097.25,0.06862745098039216,5.755301560544396
2017,New Jersey,246,1333,19192.0,646.2258064516129,1778032.0,0.18454613653413354,6.472695238947501
2017,New York,307,3041,25001.0,404.15060835251563,4895579.0,0.10095363367313384,6.004258870454454
2017,Pennsylvania,279,3545,16440.0,302.9858956276446,3097319.75,0.07870239774330043,5.7169813043682005
2017,Rhode Island,16,236,7927.0,270.1694915254237,174650.75,0.06779661016949153,5.602744055362993
2017,Vermont,21,564,5025.0,152.35638297872342,185866.75,0.03723404255319149,5.032764513291828
2018,Connecticut,24,327,24796.0,312.1406727828746,213124.75,0.07339449541284404,5.746652523386129
2018,Maine,66,552,8570.0,458.71014492753625,867483.5,0.11956521739130435,6.130596171151525
2018,Massachusetts,65,503,12316.0,450.0457256461233,590514.0,0.12922465208747516,6.111568721605297
2018,New Hampshire,6,410,2251.0,68.84878048780487,52773.0,0.014634146341463415,4.246332626535598
2018,New Jersey,161,874,22493.0,634.4050343249428,999984.5,0.18421052631578946,6.454262644883888
2018,New York,140,1878,15947.0,262.7912673056443,1198655.25,0.07454739084132056,5.575158136269188
2018,Pennsylvania,153,2363,7356.0,220.6508675412611,1219579.0,0.06474820143884892,5.401103475197664
2018,Rhode Island,10,167,3631.0,172.99401197604791,39546.75,0.059880239520958084,5.159020884691597
2018,Vermont,6,379,1652.0,83.07651715039577,65250.5,0.0158311345646438,4.431727302665968
2019,Connecticut,33,288,22382.0,537.6111111111111,791298.5,0.11458333333333333,6.288993809780587
2019,Maine,32,378,7136.0,292.37566137566137,447317.25,0.08465608465608465,5.681453908538178
2019,Massachusetts,51,442,11672.0,422.6764705882353,416222.5,0.11538461538461539,6.0489701229024675
2019,New Hampshire,13,342,6618.0,214.61111111111111,214824.25,0.038011695906432746,5.373476373472742
2019,New Jersey,121,786,8210.0,474.12595419847327,506691.75,0.15394402035623408,6.1635799356177845
2019,New York,172,1844,14966.0,330.5536876355748,1776575.25,0.09327548806941431,5.80378975016465
2019,Pennsylvania,147,2130,22450.0,253.56995305164318,1265559.0,0.06901408450704226,5.539575662865211
2019,Rhode Island,18,140,5773.0,356.24285714285713,99081.0,0.12857142857142856,5.878415822608295
2019,Vermont,4,282,2523.0,86.36524822695036,54338.25,0.014184397163120567,4.470097586050061
2020,Connecticut,13,261,18663.0,279.3295019157088,131937.25,0.04980842911877394,5.635965703847737
2020,Maine,24,435,6066.0,201.64827586206897,204177.0,0.05517241379310345,5.311471845078929
2020,Massachusetts,29,408,7450.0,316.09313725490193,254347.25,0.07107843137254902,5.759195539099137
2020,New Hampshire,7,301,10287.0,158.6079734219269,80239.5,0.023255813953488372,5.072720642551813
2020,New Jersey,73,692,6767.0,364.60115606936415,418363.25,0.10549132947976879,5.9015430016903245
2020,New York,97,1626,52605.0,238.2970479704797,1173897.25,0.05965559655596556,5.477705658734934
2020,Pennsylvania,105,1919,21082.0,216.02397081813444,885594.5,0.05471599791558103,5.380007812039393
2020,Rhode Island,6,119,4850.0,205.48739495798318,45313.25,0.05042016806722689,5.330239369172289
2020,Vermont,6,292,1714.0,85.14383561643835,48172.75,0.02054794520547945,4.456018406338819
2021,Connecticut,18,300,5714.0,229.13,115167.75,0.06,5.4386443666393145
2021,Maine,40,525,12149.0,271.86285714285714,396301.5,0.0761904761904762,5.60896931417445
2021,Massachusetts,51,474,11419.0,443.0295358649789,445454.5,0.10759493670886076,6.095891082438141
2021,New Hampshire,15,335,2499.0,159.83880597014925,86603.5,0.04477611940298507,5.080402658289438
2021,New Jersey,111,797,11371.0,421.8393977415307,446913.75,0.13927227101631118,6.046992432581812
2021,New York,89,1855,24302.0,195.43126684636118,963225.25,0.04797843665768194,5.280312583078141
2021,Pennsylvania,89,2166,27662.0,180.4247460757156,878586.25,0.041089566020313946,5.200840945553
2021,Rhode Island,11,152,6931.0,223.42105263157896,67365.0,0.07236842105263158,5.41352398667924
2021,Vermont,11,338,11839.0,154.86094674556213,243244.75,0.03254437869822485,5.048964242730099
2022,Connecticut,21,258,4412.0,273.15503875968994,155271.0,0.08139534883720931,5.61369378125325
2022,Maine,49,449,11437.0,347.9532293986637,392937.75,0.1091314031180401,5.8549379000375135
2022,Massachusetts,60,422,85305.0,1129.845971563981,2993876.5,0.14218009478672985,7.03072127901146
2022,New Hampshire,7,300,3952.0,107.49,90290.0,0.023333333333333334,4.686658002834359
2022,New Jersey,97,685,16632.0,525.0890510948905,536909.0,0.1416058394160584,6.265470497067796
2022,New York,112,1668,20532.0,253.28717026378897,1070092.5,0.0671462829736211,5.538464219970899
2022,Pennsylvania,83,1888,7422.0,189.79025423728814,936102.75,0.04396186440677966,5.2511746792887175
2022,Rhode Island,9,133,4170.0,210.90225563909775,39816.0,0.06766917293233082,5.356125110045808
2022,Vermont,6,297,3078.0,80.1952861952862,51422.25,0.020202020202020204,4.396857193700373
2023,Connecticut,0,261,0.0,0.0,0.0,0.0,0.0
2023,Maine,0,469,0.0,0.0,0.0,0.0,0.0
2023,Massachusetts,0,430,0.0,0.0,0.0,0.0,0.0
2023,New Hampshire,0,317,0.0,0.0,0.0,0.0,0.0
2023,New Jersey,0,697,0.0,0.0,0.0,0.0,0.0
2023,New York,0,1668,0.0,0.0,0.0,0.0,0.0
2023,Pennsylvania,0,1938,0.0,0.0,0.0,0.0,0.0
2023,Rhode Island,0,134,0.0,0.0,0.0,0.0,0.0
2023,Vermont,0,287,0.0,0.0,0.0,0.0,0.0
2025,Connecticut,11,255,7264.0,240.11764705882354,134440.5,0.043137254901960784,5.4852849764481215
2025,Maine,33,401,4761.0,269.4413965087282,221761.5,0.08229426433915212,5.600055426048548
2025,Massachusetts,39,389,15663.0,455.3624678663239,398065.5,0.10025706940874037,6.123287379431848
2025,New Hampshire,14,289,5836.0,212.1107266435986,156863.25,0.04844290657439446,5.3618118740348315
2025,New Jersey,95,670,8890.0,448.8805970149254,700257.25,0.1417910447761194,6.108982207588656
2025,New York,110,1622,10904.0,235.82244143033293,954422.5,0.06781750924784218,5.467310668073271
2025,Pennsylvania,126,1930,10001.0,237.02124352331606,1242661.75,0.06528497409326425,5.4723599281894995
2025,Rhode Island,8,131,2661.0,161.38167938931298,24561.0,0.061068702290076333,5.089949609721704
2025,Vermont,4,254,8478.0,102.42125984251969,30328.0,0.015748031496062992,4.6388105487012625
