feature,importance
is_winter,0.12084423005580902
baseline_n_history,0.11220903694629669
population_density,0.08120447844266891
population_2023,0.06462624594569207
regional_storm_count,0.06062449216842651
infrastructure_vulnerability,0.04135323688387871
land_area_sqmi,0.0373880535364151
baseline_extreme,0.036592121422290805
seasonal_vs_typical_ratio,0.0357441384345293
regional_mean_magnitude,0.03557682856917381
is_hurricane_season,0.03550334498286247
log_duration,0.034288789331913
is_summer,0.032257284969091415
storm_duration_hrs,0.03209772035479545
baseline_high,0.03148358277976513
tree_canopy_pct,0.029387516528367998
regional_max_magnitude,0.0266048576682806
month,0.02617228850722313
seasonal_baseline,0.025513287633657455
baseline_typical,0.023312318325042724
tier_x_canopy,0.02090935055166483
baseline_p25,0.020470593869686127
tier_x_density,0.01823508646339178
magnitude,0.010409589111804961
tier_severe,0.003955454332754016
tier_moderate,0.0032360413810238243
