year,state,outage_rate,outage_events,peak_customers
2014,Connecticut,0.08533916849015317,39,4100.0
2015,Connecticut,0.10605444941080862,261,38352.0
2016,Connecticut,0.12092534174553102,345,30026.0
2017,Connecticut,0.10215453194650817,275,44199.0
2018,Connecticut,0.12780112044817926,365,64829.0
2019,Connecticut,0.1046242774566474,181,23767.0
2020,Connecticut,0.12852664576802508,369,190956.0
2021,Connecticut,0.10565110565110565,301,19003.0
2022,Connecticut,0.09037191518943344,260,28382.0
2023,Connecticut,0.08272251308900523,237,29682.0
2024,Connecticut,0.09175577785443256,266,22105.0
2025,Connecticut,0.09642401021711366,302,23819.0
2014,Maine,0.14648910411622276,121,42304.0
2015,Maine,0.05927256398742703,264,11197.0
2016,Maine,0.10207984699976094,427,28105.0
2017,Maine,0.11619090098126672,521,109526.0
2018,Maine,0.1035700274617497,528,23369.0
2019,Maine,0.08657142857142858,303,37487.0
2020,Maine,0.1262962962962963,682,65190.0
2021,Maine,0.10032610780740457,523,15521.0
2022,Maine,0.11174134997163924,591,60853.0
2023,Maine,0.10997012696041822,589,71717.0
2024,Maine,0.11958724894048277,649,105529.0
2025,Maine,0.08630430547438145,443,16780.0
2014,Massachusetts,0.13991769547325103,102,15335.0
2015,Massachusetts,0.13540402814850763,558,44646.0
2016,Massachusetts,0.13815504547423127,638,32359.0
2017,Massachusetts,0.13147497805092187,599,78644.0
2018,Massachusetts,0.15190424374319914,698,148898.0
2019,Massachusetts,0.11951281400659731,471,60602.0
2020,Massachusetts,0.1453047061374973,670,70225.0
2021,Massachusetts,0.13887072160453456,637,351202.0
2022,Massachusetts,0.15529661016949153,733,85305.0
2023,Massachusetts,0.14346259800805256,677,85579.0
2024,Massachusetts,0.13403163745190252,627,26740.0
2025,Massachusetts,0.15206402695871946,722,47121.0
2014,New Hampshire,0.16793893129770993,66,78205.0
2015,New Hampshire,0.08563661078386951,189,27800.0
2016,New Hampshire,0.08513559903879163,248,38471.0
2017,New Hampshire,0.07864470003108485,253,80811.0
2018,New Hampshire,0.06187624750499002,217,30706.0
2019,New Hampshire,0.04057679409792086,121,22977.0
2020,New Hampshire,0.06856478791400349,236,18919.0
2021,New Hampshire,0.059834123222748815,202,12591.0
2022,New Hampshire,0.07610305004441813,257,35505.0
2023,New Hampshire,0.06291192330736968,210,29343.0
2024,New Hampshire,0.08411214953271028,288,64404.0
2025,New Hampshire,0.06729356450191008,229,18617.0
2014,New Jersey,0.1451271186440678,137,16943.0
2015,New Jersey,0.19895448954489545,1294,93824.0
2016,New Jersey,0.25088571053667497,1912,106447.0
2017,New Jersey,0.21079622132253711,1562,51916.0
2018,New Jersey,0.21898867526994997,1663,64420.0
2019,New Jersey,0.19767748746371075,1498,137151.0
2020,New Jersey,0.20189898457075037,1531,216332.0
2021,New Jersey,0.18315066684273076,1387,45880.0
2022,New Jersey,0.1638418079096045,1247,49679.0
2023,New Jersey,0.16629390869622418,1264,28478.0
2024,New Jersey,0.17910838018041575,1370,29213.0
2025,New Jersey,0.17404939239513917,1332,34847.0
2014,New York,0.07600434310532031,210,18423.0
2015,New York,0.06762180845133237,1213,44453.0
2016,New York,0.09387935316518571,1701,37978.0
2017,New York,0.09522773031506775,1750,102160.0
2018,New York,0.10405549626467449,1950,284600.0
2019,New York,0.0891655091355914,1669,77275.0
2020,New York,0.09464806330695544,1818,197669.0
2021,New York,0.0925423020681011,1772,46288.0
2022,New York,0.08626423460646981,1712,47925.0
2023,New York,0.07270716009654063,1446,30137.0
2024,New York,0.09026434558349453,1820,44632.0
2025,New York,0.08173627358255763,1642,599357.0
2014,Pennsylvania,0.07730829420970266,247,46555.0
2015,Pennsylvania,0.08571428571428572,1713,107229.0
2016,Pennsylvania,0.08529998540217021,1753,33836.0
2017,Pennsylvania,0.08573733156196622,1807,36673.0
2018,Pennsylvania,0.09541967198052097,2077,123280.0
2019,Pennsylvania,0.09387114639099133,2034,58700.0
2020,Pennsylvania,0.08020337119824111,1751,141915.0
2021,Pennsylvania,0.08857387928310234,1962,49121.0
2022,Pennsylvania,0.07993204881756001,1788,31009.0
2023,Pennsylvania,0.07981348182353208,1763,50218.0
2024,Pennsylvania,0.09976075475104952,2210,84962.0
2025,Pennsylvania,0.10272377027148105,2293,270977.0
2014,Rhode Island,0.05603448275862069,13,7651.0
2015,Rhode Island,0.07967032967032966,116,53780.0
2016,Rhode Island,0.09041468388851122,133,49904.0
2017,Rhode Island,0.08078750848608282,119,67995.0
2018,Rhode Island,0.10423671822461332,155,64587.0
2019,Rhode Island,0.10625,153,28220.0
2020,Rhode Island,0.10849056603773585,161,84135.0
2021,Rhode Island,0.0930546190155091,138,52955.0
2022,Rhode Island,0.06921555702043507,105,9646.0
2023,Rhode Island,0.06499661475964794,96,22798.0
2024,Rhode Island,0.08266666666666667,124,23679.0
2025,Rhode Island,0.0669122160834868,109,21067.0
2014,Vermont,0.08721804511278196,58,10760.0
2015,Vermont,0.035181236673773986,132,5066.0
2016,Vermont,0.038090128755364806,142,8784.0
2017,Vermont,0.046718876586551446,173,21446.0
2018,Vermont,0.0538265306122449,211,14231.0
2019,Vermont,0.043139437795713886,155,14012.0
2020,Vermont,0.03754531330916624,145,16122.0
2021,Vermont,0.04071792124296812,152,11839.0
2022,Vermont,0.04954728370221328,197,21318.0
2023,Vermont,0.04897641876133713,189,16009.0
2024,Vermont,0.05169753086419753,201,18305.0
2025,Vermont,0.03397565922920893,134,8478.0
